Категория,Наименование,Количество,Цена/Затраты,Тип
,Капитальные затраты,,,
  server,Rock w9102p,2,117192.0,Капитальные
  server,Rock w9102p2,1,203070.0,Капитальные
  server,Итого,,437454.0,
  client,Atlas H434,3,37799.0,Капитальные
  client,AuBox,1,54999.0,Капитальные
  client,RAGE H322,2,137999.0,Капитальные
  client,i-SENSYS MF752Cdw,2,47999.0,Капитальные
  client,Итого,,540392.0,
  network,B3011UiAS-RM,1,19499.0,Капитальные
  network,GIGA KN-1012,1,15199.0,Капитальные
  network,CRS326-24G-2S+RM,2,25999.0,Капитальные
  network,Итого,,86696.0,
  licenses,MS Windows 11 Pro,1,19850.0,Капитальные
  licenses,Итого,,19850.0,
,Итого капитальные затраты,,1084392.0,
,,,,
,Операционные затраты,,,
  subscription_licenses,MS Visual Studio Enterprise,1,24815.0,Операционные периодические
  subscription_licenses,Microsoft 365,1,1289.0,Операционные периодические
  subscription_licenses,Итого разовые,,0,
  subscription_licenses,Итого периодические,,26104.0,
  server_rental,Итого разовые,,0,
  server_rental,Итого периодические,,0,
  migration,Итого разовые,,0,
  migration,Итого периодические,,0,
  testing,Итого разовые,,0,
  testing,Итого периодические,,0,
  backup,Итого разовые,,0,
  backup,Итого периодические,,0,
  labor_costs,Итого разовые,,0,
  labor_costs,Итого периодические,,0,
  server_administration,Итого разовые,,0,
  server_administration,Итого периодические,,0,
,Итого операционные разовые,,0,
,Итого операционные периодические,,26104.0,
,,,,
,Затраты на электроэнергию,,0,Электроэнергия
,Итого все разовые затраты,,1084392.0,
,Итого все периодические затраты,,26104.0,
,Итого все затраты на электроэнергию,,0,
,ОБЩИЙ ИТОГ,,1110496.0,
